refTime,beginTime,endTime,labeledSentence,Comment,ETU
2/11/16 0:00,2/11/16 0:00,2/11/16 23:59,LAST_TDPS CHANCE:_TDSS Must-Have Maxi Dresses up to 50% OFF Ends Tonight!_ETPHS,,
2/11/16 0:00,2/11/16 0:00,2/15/16 23:59,PRESIDENTS' DAY SALE Now_BTPHS Thru Monday_ETPDS Feb._ETPMS 15_ETPDN  Suits & Sportcoats On Sale BUY 1 GET 1 FREE,,
2/11/16 0:00,2/11/16 0:00,3/12/16 23:59,All_TDPS Day_TDSS Everyday_TPRD  -Free Shipping Over $75,,
2/11/16 0:00,2/11/16 0:00,2/11/16 23:59,TIME IS RUNNING_TDPS OUT_TDSS  BLACK FLEECE  ONLINE & IN STORES  60% OFF THE FINAL COLLECTION,,
2/12/16 0:00,2/12/16 0:00,2/15/16 23:59,PRESIDENTS' DAY EVENT  IN-STORE AND ONLINE  NOW_BTPHS THROUGH MONDAY_ETPDS FEBRUARY_ETPMS 15_ETPDN TH,,
2/12/16 0:00,2/12/16 0:00,2/18/16 23:59,Presidents Day Sale. Ends Thursday_ETPDS February_ETPMS 18._ETPDN Valentine's_TDPS Day_TDSS is Sunday_ETPDS February_ETPMS 14._ETPDN Save up to 75% off storewide sale & clearance. Take up to an extra 25% off sale price merchandise. Promo code: PRESIDENT16. In-store only. $10 off your $25 purchase. Print coupon.,,
2/12/16 0:00,2/12/16 0:00,2/18/16 23:59,Presidents Day Sale. Ends Thursday_ETPDS February_ETPMS 18._ETPDN Valentine's_TDPS Day_TDSS is Sunday_ETPDS February_ETPMS 14._ETPDN Save up to 75% off storewide sale & clearance. Take up to an extra 25% off sale price merchandise. Promo code: PRESIDENT16. In-store only. $10 off your $25 purchase. Shop Now.,,
2/12/16 0:00,2/12/16 0:00,2/13/16 23:59,Yellow Dot Clearance. Save up to 85% on original prices when you take an extra 50-60% off Yellow Dot and an extra 70-80% off Black Dot. Ends Saturday_ETPDS February_ETPMS 13._ETPDN Take an extra 20% off your Yellow Dot or Black Dot purchase. Promo code: PRESDAYYD16. Shop Now.,,
2/12/16 0:00,2/12/16 0:00,2/13/16 23:59,Yellow Dot Clearance. Save up to 85% on original prices when you take an extra 50-60% off Yellow Dot and an extra 70-80% off Black Dot. Ends Saturday_ETPDS February_ETPMS 13._ETPDN Take an extra 20% off your Yellow Dot or Black Dot purchase. Promo code: PRESDAYYD16. Print Coupon.,,
2/13/16 0:00,2/13/16 0:00,2/13/16 23:59,Flash Sale. 10_BTPHN am_BTPAP to 4_ETPHN pm_ETPAP CST._ETPZ Today_ETPDS Onliny Only. Saturday_ETPDS February_ETPMS 13._ETPDN Bonus Buys 60-85% off select items from your favorite categories: Women's Men's Kids' Shoes Accessories. Shop Now. Avaiable while supplies last. Bonus Buys priced so low additional discounts do not apply.,,
2/13/16 0:00,2/13/16 0:00,2/13/16 23:59,Today_ETPDS Only! Online & in stores:  All dresses & shoes $20. Excludes clearance and Brands We Love. SHOP SHOES,,
2/13/16 0:00,2/13/16 0:00,2/15/16 23:59,Online & in stores ends Monday:_ETPDS Entire Store $25 or less. Excludes clearance and Brands We Love. While supplies last. SHOP NOW,,
2/14/16 0:00,2/14/16 0:00,2/15/16 23:59,PRESIDENTS' DAY SALE Final 2_TDPN Days!_TDSS Ends Tomorrow_ETPDS Feb._ETPMS 15_ETPDN Suits & Sportcoats On Sale BUY 1 GET 1 FREE,,
2/14/16 0:00,2/14/16 0:00,2/15/16 23:59,Deals of the Day_ETPDS -$29.99 1905 Ties Reg. $59.50 -Online Only. Select Styles. While Supplies Last.,,
2/14/16 0:00,2/14/16 0:00,2/15/16 23:59,Limited_TDPS Time_TDSS - Jeans $39,,
2/14/16 0:00,2/14/16 0:00,2/15/16 23:59,PRESIDENTS' DAY EVENT  IN-STORE AND ONLINE  HURRY ENDS TOMORROW!_ETPDS,,
2/14/16 0:00,2/14/16 0:00,2/14/16 23:59,A Gift from the Heart. E-mail Exclusive Sale: 30% OFF Your Entire Purchase of Full-Price Styles. Today_ETPDS Only. Use promo code HEART at checkout. -Shop Destination Maternity,,
2/14/16 0:00,2/14/16 0:00,2/18/16 23:59,Presidents Day Sale. Ends Thursday_ETPDS February_ETPMS 18._ETPDN Valentine's_TDPS Day_TDSS is Today_ETPDS Sunday_ETPDS February_ETPMS 14._ETPDN Save up to 75% off storewide sale & clearance. Take up to an extra 25% off sale price merchandise. Promo code: PRESIDENT16. In-store only. $10 off your $25 purchase. Print coupons.,,
2/14/16 0:00,2/14/16 0:00,2/18/16 23:59,Presidents Day Sale. Ends Thursday_ETPDS February_ETPMS 18._ETPDN Valentine's_TDPS Day_TDSS is Today_ETPDS Sunday_ETPDS February_ETPMS 14._ETPDN Save up to 75% off storewide sale & clearance. Take up to an extra 25% off sale price merchandise. Promo code: PRESIDENT16. In-store only. $10 off your $25 purchase. Shop now.,,
2/14/16 0:00,2/14/16 0:00,2/15/16 23:59,Yellow Dot Clearance. New Reductions Taken! Save up to 75% on original prices when you take an extra 50-60% off Yellow Dot and an extra 70% off Black Dot. Ends Monday_ETPDS February_ETPMS 15._ETPDN Take an extra 30% off your Yellow Dot or Black Dot APPAREL purchase Promo code: YLWAPRLDT30. Shop Now.,,
2/14/16 0:00,2/14/16 0:00,2/15/16 23:59,Yellow Dot Clearance. New Reductions Taken! Save up to 75% on original prices when you take an extra 50-60% off Yellow Dot and an extra 70% off Black Dot. Ends Monday_ETPDS February_ETPMS 15._ETPDN extra 20% OFF Yellow and Black footwear PROMO CODE: YLWAPRLDT30 Print coupon.,,
2/14/16 0:00,2/14/16 0:00,2/14/16 23:59,Today_ETPDS only in stores & in app: Extra 10% off your entire purchase. Don't have our app yet? GET IT NOW,,
2/14/16 0:00,2/14/16 0:00,2/15/16 23:59,Online & in stores ends tomorrow:_ETPDS Entire store $25 or less. Excludes clearance and Brands We Love. While supplies last. SHOP NOW,,
2/14/16 0:00,2/14/16 0:00,2/14/16 23:59,In celebration of love: Free shipping TODAY_ETPDS ONLY.,,
2/14/16 0:00,2/14/16 0:00,2/14/16 23:59,Free Shipping for Standard US Ground Shipments. Offer excludes gown upcharge and international orders. Good through Sunday_ETPDS February_ETPMS 14_ETPDN 2016_ETPYN at 11_ETPHN : 59_ETPMN pm_ETPAP PST._ETPZ,,
2/14/16 0:00,2/14/16 0:00,2/15/16 23:59,PRESIDENTS' DAY SALE Final 2_TDPN Days!_TDPS Ends Tomorrow_ETPDS Feb._ETPMS 15_ETPDN,,
2/14/16 0:00,2/14/16 0:00,2/14/16 23:59,Last_TDPS Chance!_TDSS You've Got $10 To Spend,,
2/14/16 0:00,2/14/16 0:00,2/14/16 23:59,HURRY!! FREE $25 GIFT CARD with any $50 purchase ENDS TONIGHT!_ETPHS,,
2/14/16 0:00,2/14/16 0:00,2/15/16 23:59,TOMORROW_ETPDS IN-STORE ONLY! MONDAY_ETPDS FEBRUARY_ETPMS 15_ETPDN Be one of the first 200 customers in teh door and get a $20 Quick Card good on your $30 purchase ODN'T MISS OUT! MOST DOORS OPEN AT 9_BTPHN AM_BTPAP FIND A STORE.,,
2/14/16 0:00,2/14/16 0:00,2/15/16 23:59,Yellow Dot Clearance. New Reductions Taken! Save up to 75% on original prices when you take an extra 50-60% off Yellow Dot and an extra 70% off Black Dot. Ends Saturday_ETPDS February_ETPMS 15._ETPDN Take an extra 30% off your Yellow Dot or Black Dot APPAREL purchase Promo code: YLWAPRLDT30. Shop Now.,,
2/14/16 0:00,2/14/16 0:00,2/15/16 23:59,Yellow Dot Clearance. New Reductions Taken! Save up to 75% on original prices when you take an extra 50-60% off Yellow Dot and an extra 70% off Black Dot. Ends Saturday_ETPDS February_ETPMS 15._ETPDN extra 20% OFF Yellow and Black footwear PROMO CODE: YLWAPRLDT30 Print coupon.,,
2/14/16 0:00,2/14/16 0:00,2/14/16 23:59,In celebration of love: Free Shipping ends at midnight._ETPHS,,
2/14/16 0:00,2/15/16 0:00,2/28/16 23:59,Free Necklace -Within-store purchase of $100 or more from February_BTPMS 15_BTPDN th - 28_ETPDN th,,
2/14/16 0:00,2/14/16 0:00,2/14/16 23:59,PRESIDENTS' DAY SALE Final_TDPS Day!_TDSS -Suits & Sportcoats On Sale BUY 1 GET 1 FREE,,
2/14/16 0:00,2/14/16 0:00,2/14/16 23:59,Last_TDPS Day!_TDSS 25% off Entire Purchase -Use code: 10281,,
2/14/16 0:00,2/14/16 0:00,2/14/16 23:59,FREE SHIPPING -today_ETPDS only! ANY ORDER NO MINIMUM,,
2/14/16 0:00,2/14/16 0:00,2/14/16 23:59,FINAL_TDPS DAYS_TDSS -In-Store & Online -Presidents' Day Event -ALL CLEARANCE NOW $9.99,,
2/14/16 0:00,2/14/16 0:00,2/14/16 23:59,PRESIDENTS' DAY SALE: LAST_TDPS DAY_TDSS,,
2/14/16 0:00,2/14/16 0:00,2/14/16 23:59,ENDS TODAY:_ETPDS TAKE 25% OFF MEN'S + WOMEN'S UNDERWEAR,,
2/14/16 0:00,2/14/16 0:00,2/17/16 23:59,NowBTPHS through Wednesday_ETPDS  President's Day Sale  Additional 20% Off On All Sale Items,,
2/15/16 0:00,2/15/16 9:00,2/15/16 23:59,IN-STORE TODAY_BTPDS ONLY! MONDAY_BTPDS FEBRUARY_BTPMS 15_BTPDN Be one of the first 200 customers in teh door and get a $20 Quick Card good on your $30 purchase ODN'T MISS OUT! MOST DOORS OPEN AT 9_BTPHN AM_BTPAP FIND A STORE.,,
2/15/16 0:00,2/15/16 0:00,2/18/16 23:59,Presidents Day Sale. Ends Thursday_ETPDS February_ETPMS 18._ETPDN Save up to 75% off storewide sale & clearance. Take up to an extra 25% off sale price merchandise. Promo code: PRESIDENT16. In-store only. $10 off your $25 purchase. Print coupons.,,
2/15/16 0:00,2/15/16 0:00,2/18/16 23:59,Presidents Day Sale. Ends Thursday_ETPDS February_ETPMS 18._ETPDN Save up to 75% off storewide sale & clearance. Take up to an extra 25% off sale price merchandise. Promo code: PRESIDENT16. In-store only. $10 off your $25 purchase. Shop now.,,
2/15/16 0:00,2/15/16 0:00,2/15/16 23:59,BONUS BUYS END TODAY!_ETPDS Monday_ETPDS February_ETPMS 15_ETPDN BONUS 60% OFF Team apparel,,
2/15/16 0:00,2/15/16 0:00,2/15/16 23:59,BONUS BUYS END TODAY!_ETPDS Monday_ETPDS February_ETPMS 15_ETPDN BONUS 19.97 Van Heusen dress shirts and ties,,
2/15/16 0:00,2/15/16 0:00,2/15/16 23:59,BONUS BUYS END TODAY!_ETPDS Monday_ETPDS February_ETPMS 15_ETPDN BONUS 60% OFF Separates from Chelsea & Theodore Bobeau AGB and more,,
2/15/16 0:00,2/15/16 0:00,2/15/16 23:59,HP Pavilion Laptop Today_ETPDS Only,,
2/15/16 0:00,2/15/16 0:00,2/15/16 23:59,PRESIDENTS' DAY EVENT  IN-STORE AND ONLINE  HURRY ENDS TODAY!_ETPDS,,
2/15/16 0:00,2/15/16 0:00,2/15/16 23:59,Today_ETPDS Only. Online Exclusive. President's Day Sale: 30% OFF Your Entire Online Purchase of Full-Price Styles + FREE SHIPPING on every order of $125 or more -Shop Destination Maternity,,
2/15/16 0:00,2/15/16 0:00,2/15/16 23:59,Online Exclusive: 40% OFF Designer Outlet -Select Styles. While supplies last. For a limited_TDPS time._TDSS Restrictions apply. Shop Clearance Maternity Clothing,,
2/15/16 0:00,2/15/16 0:00,2/28/16 23:59,Free Necklace -With in-store purchaseof $100 or more from February_BTPMS 15_BTPDN th - 28_ETPDN th,,
2/15/16 0:00,2/15/16 0:00,2/15/16 23:59,Today_ETPDS only in stores & online all jeans $20. Excludes clearance and Brands We Love. SHOP JEANS,,
2/15/16 0:00,2/15/16 0:00,2/15/16 23:59,BUY ONE GET ONE FREE CHOOSE FROM 6 STYLES  ENDS MIDNIGHT_ETPHS MONDAY_ETPDS 2_ETPMN / 15_ETPDN,,
2/15/16 0:00,2/15/16 0:00,2/17/16 23:59,EMAIL EXCLUSIVE: Ends Wednesday_ETPDS February_ETPMS 17._ETPDN Extra 25% off women's and men's swimwear. PROMO CODE: SWIMBREAK16. SHOP NOW.,,
2/15/16 0:00,2/15/16 0:00,2/15/16 23:59,BROOKS BROTHERS FACTORY STORE  ENDS TODAY_ETPDS  PRESIDENTS'_ETPDS DAY_ETPDS SALE -FIND A STORE,,
2/15/16 0:00,2/15/16 0:00,2/15/16 23:59,Last_TDPS Chance_TDSS -Free Shipping with No Minimum Purchase + Free Returns,,
2/15/16 0:00,2/15/16 0:00,2/15/16 23:59,PRESIDENTS' DAY SALE Final_TDPS Hours!_TDSS  -Suits & Sportcoats On Sale BUY 1 GET 1 FREE,,
2/15/16 0:00,2/15/16 0:00,2/15/16 23:59,YELLOW DOT CLEARANCE! Thousands of new items added: Up to 85% off original prices when you take an extra 50-60% off Yellow Dot or an extra 70-80% off Black Dot Ends Today:_ETPDS Monday_ETPDS February_ETPMS 15_ETPDN. Extra 30% off Yellow and Black Dot women's men's and kids' apparel . Promo code: YLWAPRLDT30 For an extra 20% off Yellow and Black footwear Promo code is YELLOWFEB15. PRINT COUPONS.,,
2/15/16 0:00,2/15/16 0:00,2/15/16 23:59,YELLOW DOT CLEARANCE! Thousands of new items added: Up to 85% off original prices when you take an extra 50-60% off Yellow Dot or an extra 70-80% off Black Dot Ends Today:_ETPDS Monday_ETPDS February_ETPMS 15._ETPDN Extra 30% off Yellow and Black Dot women's men's and kids' apparel . Promo code: YLWAPRLDT30 For an extra 20% off Yellow and Black footwear Promo code is YELLOWFEB15. SHOP NOW.,,
2/15/16 0:00,2/15/16 0:00,2/15/16 23:59,WE CANNOT TELL A LIE...THIS IS YOUR LAST_TDPS CHANCE_TDSS (BUT YOU CAN SHOP ONLINE UNTIL MIDNIGHT_ETPHS )  $20 OFF YOUR OURCHASE OF $75 OR MORE  USE CODE FABFEB,,
2/15/16 0:00,2/15/16 0:00,2/15/16 23:59,TODAY_ETPDS ONLY ONLINE ONLY -AWARD WINNING VALUE -styles starting at $20 -SELECT STYLES -DISCOUNTS REFLECTED IN SHOPPING BAG,,
2/15/16 0:00,2/15/16 0:00,2/15/16 23:59,FINAL_TDPS HOURS:_TDSS TAKE 25% OFF MEN'S + WOMEN'S UNDERWEAR,,
2/15/16 0:00,2/15/16 0:00,2/15/16 23:59,ENDS TODAY:_ETPDS PRESIDENTS'_ETPDS DAY_ETPDS SALE,,
2/15/16 0:00,2/15/16 0:00,2/17/16 23:59,YELLOW DOT CLEARANCEThousands of new items added! Up to 85% off original prices when you take an extra 50-60% off Yellow Dot extra 70-80% off Black Dot Ends Wednesday_ETPDS February_ETPMS 17_ETPDN. For extra 30% off Yellow and Black Dot women's men's and kids' apparel use Promo code DOT4FEB1616. For extra 20% off Yellow and Black footwear use Promo code DOT4SHOES16. PRINT COUPONS.,,
2/15/16 0:00,2/15/16 0:00,2/17/16 23:59,YELLOW DOT CLEARANCEThousands of new items added! Up to 85% off original prices when you take an extra 50-60% off Yellow Dot extra 70-80% off Black Dot Ends Wednesday_ETPDS February_ETPMS 17._ETPDN For extra 30% off Yellow and Black Dot women's men's and kids' apparel use Promo code DOT4FEB1616. For extra 20% off Yellow and Black footwear use Promo code DOT4SHOES16. SHOP NOW.,,
2/15/16 0:00,2/15/16 0:00,2/15/16 23:59,LAST_TDPS CALL:_TDSS Your FREE GIFT expires tonight!_ETPHS Shop Now and get a FREE $25 Gift Card with any $50 Purchase!,,
2/15/16 0:00,2/15/16 0:00,3/9/16 23:59,Last_TDPS Chance_TDSS for 20% off your entire purchase! Expires in 24_TDPN days._TDSS One time use only. Enter Code at checkout.REDEEM NOW,,
2/15/16 0:00,2/15/16 0:00,2/15/16 23:59,TODAY_ETPDS ONLY: RECEIVE FREE SHIPPING ON UNDERWEAR PURCHASES OF 50+,,
2/15/16 0:00,2/15/16 0:00,2/15/16 23:59, Today_ETPDS Only Sale,,
2/15/16 0:00,2/15/16 0:00,2/16/16 23:59,Don't Miss Out! Outlet Sale: 40% OFF Clearance Styles.  Online Only  For a limited_TDPS time_TDSS Shop Maternity Clearance Styles,,
2/15/16 0:00,2/15/16 0:00,2/15/16 23:59,Today_ETPDS online only all shoes  30% off Excludes clearance and brands We Love  SHOP BOOTIES,,
2/15/16 0:00,2/15/16 0:00,2/16/16 23:59,Online only  all dresses starting at $15  Excludes clearance and Brands We Love. While supplies_TDPS last._TDSS SHOP DRESSES,,
2/15/16 0:00,2/16/16 0:00,2/23/16 23:59,In stores  $5 off any denim purchase includes Plus sizes. Valid 2_BTPMN / 16_BTPDN - 2_ETPMN / 23_ETPDN only.  Offer valid on all reg. price denim shorts and jeans only. Excludes clearance. FIND A STORE,,
2/15/16 0:00,2/15/16 0:00,2/15/16 23:59,Lighting Deals. 24_TDPN hour_TDSS deals.,,
2/15/16 0:00,2/15/16 0:00,2/16/16 23:59,TWO_TDPS DAYS_TDSS ONLY  $50 OFF $150 + FREE SHIPPING,,
2/15/16 0:00,2/15/16 19:00,2/16/16 3:59,From 7_BTPHN PM_BTPAP - 3_ETPHN : 59_ETPnN AM_ETPAP CT_ETPZ  take an additional 30% Off Clearance,,
2/15/16 0:00,2/15/16 0:00,2/16/16 23:59,Two_TDPS Days_TDSS Only  -Exclusively Online   Extra 40% off All Clearance + $5 Shipping on All Orders  Use Code: 15723,,
2/15/16 0:00,2/15/16 0:00,2/15/16 23:59,LAST_TDPS DAY_TDSS   $50 OFF OF $150 + FREE SHIPPING,,
2/15/16 0:00,2/15/16 0:00,2/21/16 23:59,Valid for One_TDPS Week_TDSS Only,,
2/17/16 0:00,2/17/16 0:00,2/18/16 23:59, Presidents'_TDPS Day_TDSS SALE  ENDS TOMORROW_ETPDS Thursday_ETPDS February_ETPMS 18_ETPDN  up to 75% off storewide sale & clearance Take up to an extra 25% off sale price merchandise Promo code: PRESIDENT16  in-store only  $10 off your purchase PRINT COUPONS.,,
2/17/16 0:00,2/17/16 0:00,2/18/16 23:59, Presidents'_TDPS Day_TDSS SALE  ENDS TOMORROW_ETPDS Thursday_ETPDS February_ETPMS 18_ETPDN  up to 75% off storewide sale & clearance Take up to an extra 25% off sale price merchandise Promo code: PRESIDENT16  in-store only  $10 off your purchase PRINT COUPONS.,,
2/17/16 0:00,2/17/16 0:00,2/17/16 23:59,YELLOW DOT CLEARANCE THOUSANDS OF ITEMS ADDED! save up to 85% on original prices when you take an extra 50-60% off Yellow Dot extra 70-80% off Black Dot PLUS SAVE EVEN MORE!  ENDS TODAY_ETPDS WEDNESDAY_ETPDS FEBRUARY_ETPMS 17_ETPDN extra 40% off Yellow and Black Dot women's men's and kis apparel  PRomo code: DOT4FEB161  extra 20% OFF Yellow and Black Dot footwear  Promo code: DOT4SHOES16  Promo code: DOT4SHOES16 PRINT COUPONS.,,
2/17/16 0:00,2/17/16 0:00,2/17/16 23:59, Ninja Auto-iQ Coffee Brewer Today_ETPDS Only,,
2/17/16 0:00,2/17/16 0:00,2/17/16 23:59,Online Exclusive Flash_TDPS Sale Enjoy 50% Off 50 select styles ! Shop now.,,
2/17/16 0:00,2/17/16 0:00,2/18/16 23:59,In stores all booties $20. Excludes clearance and Brands We Love  While supplies_TDPS last._TDSS Even more styles online $20 & up. SHOP BOOTIES,,
2/17/16 0:00,2/17/16 0:00,2/18/16 23:59,Online Only!  New Arrivals event!  Ends Thursday_ETPDS February_ETPMS 18._ETPDN  EXTRA 30% off.  PROMO CODE: FEB10SAVE30. SHOP NOW.,,
2/17/16 0:00,2/17/16 0:00,2/18/16 23:59,Starts Now_BTPHS  SPANX  Limited_TDPS - time_TDSS online sale event The biggest name in shapewear is back with all the options you can think of.  Shop Intimates,,
2/17/16 0:00,2/18/16 0:00,2/19/16 23:59,Starts 2_BTPMN / 18_BTPDN At 8_BTPHN AM_BTPAP Pacific_BTPZ  J. Crew Factory   Limited_TDPS - Time_TDSS  Online Sale Event,,
2/17/16 0:00,2/17/16 0:00,2/17/16 23:59,SALE  STARTS NOW:_BTPHS  Friends and Family Save AT LEAST 20% OFF!  Shop Now -Friends and Family Sale Ends Tonight!_ETPHS,,
1/20/16 0:00,1/20/16 0:00,1/22/16 23:59,Extra 40  Jan_ETPMS 22_ETPDN,,
2/16/16 0:00,2/16/16 0:00,2/16/16 23:59,LAST_TDPS DAY_TDSS   35% OFF YOUR PURCHASE,,
2/16/16 0:00,2/16/16 0:00,2/22/16 23:59,redeem GAPCASH  Redeem your $25 in GapCash for every $50 you spend thru 2_ETPMN / 22._ETPDN,,
2/16/16 0:00,2/16/16 0:00,2/16/16 23:59,hours_TDPS left!_TDSS  a little more love  35% OFF YOUR PURCHASE   Online and in stores  Use code LOVE,,
2/16/16 0:00,2/16/16 0:00,2/21/16 23:59,WINTER CLEARANCE SALE   SAVE UP TO 40%  FOR MEN WOMEN AND KIDS THROUGH FEBRUARY_ETPMS 21_ETPDN  SHOP WOMEN'S SALE,,
2/16/16 0:00,2/16/16 0:00,2/16/16 23:59,HURRY OFFER ENDS TONIGHT!_ETPHS,,
2/16/16 0:00,2/16/16 0:00,2/16/16 23:59,Save AT LEAST 20% OFF!  Friends and Family Sale Ends Tonight!_ETPHS,,
2/16/16 0:00,2/16/16 7:00,2/17/16 3:59,Save 40% Off  Select Styles From 7_BTPHN PM_BTPAP - 3_ETPHN : 59_ETPmN AM_ETPAP CT_ETPZ,,
2/16/16 0:00,2/16/16 0:00,2/21/16 23:59,Buy More Save More -Now_BTPHS Thru Sunday!_ETPHS  -Save up to 65% on Suits & Sportcoats)~ p ,,
2/16/16 0:00,2/16/16 0:00,2/16/16 23:59,TODAY_ETPDS ONLY:  EXTRA 25% OFF SITEWIDE  WITH PROMO CODE,,
2/16/16 0:00,2/16/16 0:00,2/16/16 23:59,Last_TDPS Day_TDSS  Exclusively Online - Extra 40% off All Clearance + $5 Shipping on All Orders - Use Code: 15723,,
2/16/16 0:00,2/16/16 0:00,2/16/16 23:59,ENDS TODAY_ETPDS,,
2/16/16 0:00,2/16/16 0:00,2/16/16 23:59,Biggest One_TDPS Day_TDSS Sale of the season.  Preview Days start today!_BTPDS  Take $50 off your $100 purchase.  PROMO CODE: FEBONEDAY16.  Print coupons.,,
2/18/16 0:00,2/16/16 0:00,2/17/16 23:59,LIMITED_TDPS TIME_TDSS ONLY    WOMEN'S SUITING STARTING AT $99.99   FIND A STORE,,
2/18/16 0:00,2/16/16 0:00,2/17/16 23:59,STARTS NOW_BTPHS   J.CREW FACTORY   Limited_TDPS - Time_TDSS   Online Sale Event  Stylish things come to those who wait. Here for the first time the brand's easy everyday classics and can't-miss scores.,,
2/18/16 0:00,2/16/16 0:00,2/17/16 23:59,Limited_TDPS Time_TDSS  Special Gifts,,
2/18/16 0:00,2/19/16 0:00,2/19/16 23:59,Yellow Dot Clearance. Save up to 85% on original prices.  Starts tomorrow!_BTPDS  Extra 30% off Yellow and Black Dot women's  men's  and kids' apparel  Extra 20% off Yellow and Black Dot accessories  dresses  footwear  and home store. Promo code: DOTEMAIL219.  Print coupons.,,End Time Unknown
2/18/16 0:00,2/18/16 0:00,2/21/16 23:59,75+ Styles Are Being CLEARED-OUT! They'll Be Gone  SUNDAY_ETPDS @ MIDNIGHT!_ETPHS,,
2/18/16 0:00,2/18/16 0:00,2/20/16 23:59,ONLINE ONLY!  Home store closeout deals.  Ends Saturday_ETPDS February_ETPMS 20._ETPDN  SHOP ALL ONLINE ONLY OFFERS.,,
2/18/16 0:00,2/19/16 0:00,2/19/16 23:59,In stores  tomorrow_ETPDS  Fashion Fridays_TPRD -find a store,,End Time Unknown
2/18/16 0:00,2/18/16 0:00,2/18/16 23:59,Today_ETPDS Online Only.  Select Tops & Dresses 40% Off,,
2/18/16 0:00,2/18/16 11:00,2/18/16 16:00,Plus Shop $25 Boots   Online Only from 11_BTPHN AM_BTPAP to 4_ETPHN PM_ETPAP CT_ETPZ,,
2/18/16 0:00,2/18/16 0:00,2/21/16 23:59,Buy More Save More - Now_BTPHS Thru Sunday!_ETPDS  Save up to 60% on Dress  Shirts  Sportswear  Pants  Denim  Ties  & Accessories ,,
